source_id,hotel_stars,traveler_type,extracted_aspect,sentiment
85fa36226b47eb4775262a6e4399b123,3,Business,receptionist,NEGATIVE
68c22d4304f1d1ca698a183cf689c8ce,3,Business,parking,NEGATIVE
b5edaceda6e1044e2ea90d0ac94c0334,3,Business,room,NEGATIVE
fc7766ac22e7f9f39ebb91530b248c1b,3,Business,disabled,NEUTRAL
5c1af4c7d0588f73d769e976e6311b52,3,Business,wifi,NEGATIVE
5c1af4c7d0588f73d769e976e6311b52,3,Business,shower drain,NEGATIVE
d24ee8062efc97e622d4800113e32017,3,Business,beds,NEGATIVE
d24ee8062efc97e622d4800113e32017,3,Business,shower door,NEGATIVE
d24ee8062efc97e622d4800113e32017,3,Business,shower,NEGATIVE
d24ee8062efc97e622d4800113e32017,3,Business,soap,NEGATIVE
d24ee8062efc97e622d4800113e32017,3,Business,towel,NEGATIVE
ea3f885726ef55927616d8c2b7145e42,3,Business,floor,NEUTRAL
ea3f885726ef55927616d8c2b7145e42,3,Business,connecting chargers,NEGATIVE
2e224305fd4c1a3eb360a307e4647c7f,3,Business,artificial flowers,NEGATIVE
0c5412b33d755d6afa5f7f91a2224679,3,Business,cleanliness,NEUTRAL
0c5412b33d755d6afa5f7f91a2224679,3,Business,atmosphere,POSITIVE
0c5412b33d755d6afa5f7f91a2224679,3,Business,decor,NEGATIVE
906d74988a759584df705d0bc357bd2b,3,Business,steak,NEGATIVE
906d74988a759584df705d0bc357bd2b,3,Business,dinner,NEUTRAL
0cf0b3a9ce484b1a43fa092c15f0c44d,3,Business,carpet,NEGATIVE
0cf0b3a9ce484b1a43fa092c15f0c44d,3,Business,parking lot,NEGATIVE
0cf0b3a9ce484b1a43fa092c15f0c44d,3,Business,grounds,NEGATIVE
0cf0b3a9ce484b1a43fa092c15f0c44d,3,Business,security,NEGATIVE
8df5a36ab11ddf79c991855c385f42ea,3,Business,menu,NEUTRAL
8df5a36ab11ddf79c991855c385f42ea,3,Business,lunch dishes,POSITIVE
8df5a36ab11ddf79c991855c385f42ea,3,Business,dinner,NEUTRAL
e835f13f72ed8467f1ae8c635bda5f6b,3,Business,bathroom,NEUTRAL
e835f13f72ed8467f1ae8c635bda5f6b,3,Business,shower,NEGATIVE
e835f13f72ed8467f1ae8c635bda5f6b,3,Business,bathroom,NEUTRAL
83f786f229b36c9da4b7329b7d23ac3c,3,Business,dinner,NEUTRAL
83f786f229b36c9da4b7329b7d23ac3c,3,Business,reservation,NEUTRAL
fd5bc9d7479316611f30f68d62763665,3,Business,staff,POSITIVE
